Class,Type,Displacement,Country,First commissioned,YEAR
Benson,DD,1620,USA,15 January 1943,1943
Niels Juel,coastal defence ship,3400,Royal Danish Navy,23 May 1923,1923
Fiji,CL,8000,ENG,23 September 1940,1940
Ning Hai,CL,2200,Republic of China Navy,,
Holland,anti-aircraft cruiser,4100,GER,1 March 1941,1941
Holland,C,4033,Royal Netherlands Navy,1 March 1900,1900
Tribal,DD,1927,Royal Canadian Navy,9 August 1946,1946
Eidsvold,coastal defence ship,4230,Royal Norwegian Navy,7 February 1901,1901
North Carolina,BB,35000,USA,9 April 1941,1941
Northampton,CA,9050,USA,17 May 1930,1930
Agano,CL,6650,JPN,,
Nürnberg,CL,6980,GER,2 November 1935,1935
Tordenskjold,coastal defence ship,3858,GER,21 March 1898,1898
Agano,CL,6650,JPN,29 December 1943,1943
Novik,DD,1260,Soviet Navy,9 September 1913,1913
Yakumo,armored cruiser,9646,JPN,20 June 1900,1900
Fusō,dreadnought,39154,JPN,31 March 1917,1917
Yamato,BB,74170,JPN,16 December 1941,1941
Yorktown,CV,19900,USA,30 September 1937,1937
Essex,CV,30800,USA,15 April 1943,1943
Yubari,CL,2890,JPN,23 July 1923,1923
Kagero,DD,2490,JPN,20 January 1940,1940
Nagara,CL,5088,JPN,20 March 1923,1923
